id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,4.5387846259181686e-10,2.98083294159035e-11,3.7027751199382453e-13,1.854876430229524e-08,1.1560765365847825e-12,1.2270101601430383e-10,5.83553604743825e-13,1.9351907636034824e-14,1.5348170651074966e-11,3.9673415663799005e-09,3.495451497692592e-11,6.267665423123625e-13,1.2820885846032137e-12,2.039546699930672e-12,3.2811937195065255e-11,3.847858490169109e-11,1.2371456636905975e-10,4.0097531414998167e-13,2.612355817777079e-11,1.20946724857518e-10,1.6043121275899352e-09,2.376199714423932e-12,4.808944475270804e-12,1.8042865378847806e-12,9.589701428780462e-12,9.593064190238643e-13,3.158229899824505e-09,6.921149764416157e-10,9.62546375937734e-10,1.087025122692431e-10,7.238041376921977e-15,1.87061584000503e-08,7.696740134122138e-09,2.503461260516815e-08,3.740724618950253e-09,1.9543421048151544e-10,3.340901955084519e-08,1.2364026469313671e-10,1.4411398296942934e-07,3.316596330904531e-09,1.0277579134965187e-11,1.189092380116108e-08,7.763285847506296e-11,4.0807218715244176e-12,6.975472421899553e-10,1.3195999848392148e-10,2.446413645884604e-06,2.7689930209851e-11,6.8005839674867286e-12,4.5518640939823385e-11,4.4165435197918157e-10,0.9999728202819824,2.3459809398926335e-13,8.284910535394374e-09,1.633826823832507e-10,4.022901521238964e-06,1.3293246503565115e-08,3.9868854033876366e-15,7.022796921904093e-14,1.2304471219692914e-08,3.846744589530715e-10,1.457759694206695e-12,7.534249916660296e-13,1.1892137274926995e-10,1.007733771984931e-06,3.1301022884733243e-10,1.8548064126266972e-11,2.8838547896275005e-14,8.428381603753365e-11,4.192930003199535e-09,3.333675295449229e-13,2.2615386993662945e-11,1.7135597385475876e-09,6.862054327538836e-13,6.78232083828334e-08,2.1344070955109373e-09,3.2142071122731597e-12,4.4814738725529324e-11,3.1298880003305385e-06,6.044228052087819e-12,1.033008234507804e-09,4.512312561360393e-13,1.4852233332085518e-10,1.540667881272384e-06,1.474363398301648e-05,3.6623040212437064e-13,9.381591869396413e-16,1.6441373002634707e-13,7.504090682175502e-09,1.3733673486643339e-12,3.4477147803357866e-09,5.1829942247783034e-12,5.345172004664334e-13,2.2694743861961797e-09,2.2126829448548824e-12,1.279517212803916e-14,3.6699817989281625e-13,3.617331989502759e-09,1.1514815793575717e-12
7,2.879850822534182e-15,3.520617228736783e-14,1.4441811461984866e-13,6.407974845190623e-11,2.559585547594963e-15,5.327862225701493e-15,4.1643544168579183e-10,5.906453385432842e-16,8.922552951543786e-16,6.840526273676692e-14,2.3632018637096435e-18,3.497537740858119e-15,1.4248412367841496e-15,1.2780925033866342e-14,6.13657345424623e-13,2.642467933242033e-15,7.25351751590126e-15,1.928868740078138e-12,1.799223711421242e-16,1.0264858296693546e-08,5.116525281900059e-16,4.8671072190977285e-15,1.1410018527354382e-17,9.685631169439792e-17,1.3891282432327647e-17,1.203590407609814e-16,7.527128226270108e-12,1.0066642614978139e-12,5.163906953951913e-13,5.032706607208917e-16,1.0637635215781423e-14,1.199428333346561e-13,8.743261106433642e-14,1.14914895311182e-16,3.405671925027498e-11,3.113988583021612e-17,1.6637574162814417e-07,3.8728711264455346e-14,2.779481644843429e-10,3.37328324995223e-11,2.768719420398469e-10,1.2906148372238135e-11,2.244315323862711e-11,1.4559920109846747e-12,5.2840744339767085e-14,3.1567340408322764e-10,3.671750268196758e-14,1.0973256081570071e-07,2.5429000918841815e-11,1.6604028993605835e-15,0.9999992847442627,1.568829267883931e-12,3.329017020815145e-13,3.9703042936656274e-11,9.937566177939394e-13,1.843582925209475e-11,1.94521631332982e-13,3.034298940579605e-12,3.408897331080851e-10,3.007175064517753e-11,9.672574834184225e-14,1.8267576714541336e-14,2.9298783618742543e-17,1.4001992620915615e-10,1.056018011751092e-12,1.1352844796031451e-16,6.983490717975759e-16,5.309986442382638e-15,5.1619129110003215e-11,5.169544348149202e-09,2.079472916544514e-18,8.957099190297553e-16,8.890645088071818e-17,6.862690754214085e-14,6.1027410948604095e-15,1.3318430119337293e-14,4.794788455164678e-10,1.9156200673571717e-14,5.526638716980836e-13,1.7973333054071422e-13,1.0154205899509314e-13,1.84101692224381e-12,2.7310753125675546e-07,2.579201350272342e-07,8.084545810582711e-10,1.1370469669980121e-11,2.1534959145780297e-12,3.385665706123753e-11,1.0591389969718417e-15,1.0875085147731348e-13,2.3680539408717227e-13,3.0743569040363183e-15,2.43577685927717e-15,7.148465075181213e-18,4.5051201658097284e-10,7.569018654028647e-13,1.2870043919477325e-10,3.306769403993979e-15,6.050809809796109e-13
9,1.1921693666983035e-11,0.998325765132904,1.0936998702526513e-11,2.248620694416596e-15,0.0016728155314922333,1.063338826712279e-11,6.422813236123259e-12,1.1335328509165521e-10,4.244864371116819e-08,4.2155136270594085e-07,1.115811111042364e-12,3.321103392295299e-08,6.007603811121476e-13,1.0285378451713179e-11,6.5011613870069596e-09,4.223849135037705e-12,6.174348072818248e-07,3.031359129353526e-16,5.0125212140705866e-12,2.112353847394388e-09,4.9623537917709015e-11,6.129959873035773e-10,3.8565605964857347e-16,1.9620396073897345e-13,1.0908518046379243e-15,2.0606934561517853e-11,8.068664847371565e-09,4.766342273868226e-16,1.645581240716787e-11,1.0077436931807404e-12,2.139894274757613e-15,1.4269624544482884e-11,1.7440284717155745e-14,8.928557220823363e-13,8.178557115399998e-15,2.535734040520765e-07,1.0952346072169022e-14,3.413130195140113e-11,5.3135419675331974e-11,5.705039218817376e-10,3.373434778047857e-12,1.0225830598953323e-12,8.7580631765935e-14,4.1431100425968516e-15,1.0090683849476104e-13,1.0155408215132338e-16,2.429848314743077e-13,7.869188634046509e-11,1.083018674741254e-09,1.6667336955045187e-10,6.093666830896474e-15,5.63898123887626e-14,4.156470716790367e-15,6.340510061431104e-11,8.145476654286554e-11,4.2838868845491984e-13,7.695885706482386e-09,1.0692632641530172e-15,1.3044166767012091e-18,9.098072366016743e-14,4.175447897050537e-14,1.4886249352947666e-15,1.502630214266637e-13,4.143794140286372e-13,8.85424444874161e-09,3.268747468879174e-12,2.2342957155642787e-14,2.5507998505508004e-17,4.0468073770477675e-13,5.475705609422898e-13,3.404886778340249e-14,1.7869175106613455e-13,4.821075637095667e-15,1.0178321380172051e-10,4.7912607215039316e-09,2.1706454411685172e-09,1.5517561007986425e-15,2.4450669048844183e-15,1.7345441749583301e-10,3.333999236847159e-16,8.935516909724939e-11,7.822363667453567e-15,5.417875993489734e-15,2.7162737337160792e-11,1.496753589125266e-11,1.7617335146269397e-08,1.728299069885062e-14,1.1024544992188634e-11,2.8742039998030933e-11,3.8396008594787645e-11,2.376037361924866e-14,6.649202672834309e-13,2.2111483477527116e-10,2.605416750400824e-12,2.449597328365444e-13,2.161578728510083e-11,8.565751732046711e-13,3.243336155200893e-11,2.1483593570792436e-08
12,1.0844999215071233e-13,5.647226862492971e-05,2.5280307361374987e-12,6.4784607698234204e-15,5.3266894367576256e-11,5.429808887771534e-16,1.0718812291088398e-06,1.440957492215844e-10,1.5607510839288352e-09,2.4095188067008166e-08,2.279346073424417e-16,5.2815767759284427e-08,2.292311673812719e-09,1.5089359521880397e-06,9.588969618334886e-10,2.7237728131984662e-12,2.1176772358258433e-13,2.7680635561466715e-09,1.1071301685215522e-14,0.9994950294494629,4.998159438412975e-12,5.886817319418827e-14,1.2563627201577724e-14,1.1527669484668983e-14,3.2778057476373287e-15,2.5632864462997538e-15,1.2084844058790623e-07,1.1181241479571447e-12,1.8251750750954837e-14,8.223391043636619e-13,4.287658417331461e-14,1.2703349656917329e-12,5.016590441664359e-13,7.67495808118128e-14,8.052285509381474e-13,2.420448824008714e-12,3.145792237813083e-10,3.064855480516826e-09,2.576414637189828e-10,1.403073924405307e-11,8.152691854945715e-09,3.586120911336366e-08,2.7521396619989424e-12,4.785706505833643e-16,1.7356998000331303e-12,3.047792324507165e-13,1.4614321580154466e-13,0.00044109162990935147,8.61257305473373e-08,1.452234599935709e-13,1.3471841697754172e-10,7.765783730049464e-14,6.288727930737299e-15,6.76239359648223e-12,4.440031675656542e-12,1.6703836664549998e-13,1.0888151816788871e-13,3.6815075293850086e-11,1.873277921671246e-11,1.6114090617413979e-10,1.4010774691038813e-13,9.870859275554178e-16,2.3501434630833484e-13,2.723233964718741e-11,2.437074098082803e-09,2.120505648243315e-14,3.048268831361972e-13,4.2538052209351376e-14,1.4562517858252022e-12,4.1970675659962556e-14,5.119544888182571e-17,6.718620021358432e-15,1.8142046140590674e-17,5.449803369000916e-12,2.991066866842723e-13,7.191943221518393e-12,7.086302573379444e-13,5.465745721690632e-14,1.573486479999886e-10,2.961683090614564e-13,5.7905706896121956e-09,1.3360215711522017e-11,2.8948383246074627e-08,4.708542999942722e-10,6.035144172605866e-12,1.3322987513220141e-07,7.137577746722801e-13,1.1048367082322486e-11,1.3970747302083364e-13,2.6666412134002115e-12,1.1292597851828359e-13,5.216530766377625e-12,1.2333193277411225e-12,5.724251368049993e-14,3.2245119907514663e-09,4.057624664710602e-06,2.860179107444516e-12,7.420034367749268e-14,3.2297629104505177e-07
13,3.403000450874494e-11,1.316513842386513e-10,6.416674269123311e-16,2.2100778365803284e-16,4.2937705474477283e-11,9.661788250765768e-16,4.076322179108471e-12,6.822863942660545e-14,8.18585021988838e-09,3.6589264951203404e-10,1.794848883233946e-12,1.0100274039359647e-06,3.117809612915301e-12,4.2341252032285226e-11,0.9999984502792358,1.4993677482856745e-14,4.823497761208273e-07,7.419652186483466e-14,2.2463648996495778e-11,2.5582972697744955e-13,8.015300229091693e-12,2.7862315001872756e-17,1.4888386205315352e-13,2.6483793761809208e-15,3.854769693549531e-13,3.618398754519467e-16,2.1452765952556518e-10,1.3373529612556185e-14,1.259361725010821e-14,4.3608253827191274e-17,7.598621396744001e-17,5.741675831038727e-16,6.37825487295655e-18,1.0523841209757255e-15,7.727975239190554e-17,3.442715279522446e-10,1.5397740997817252e-14,2.0102570595561392e-13,8.07366272361637e-13,1.5874402012621032e-14,4.04098168772446e-13,2.921067034089564e-12,1.9869875059544406e-14,1.5870483096105947e-12,5.2944509263937525e-14,6.121191953993446e-18,9.402712170068078e-14,3.4287097466778604e-11,7.852725136814342e-10,7.395891454820003e-09,6.711210124196292e-17,4.010876341069194e-15,2.2113090783785013e-16,2.5517782331618832e-12,4.3849526874112366e-14,1.924578102518876e-16,3.409942684121092e-13,6.314109167122656e-16,3.2222857157950145e-17,3.86013351274736e-13,9.198796441906541e-15,1.8473218155865874e-16,4.709339285858616e-15,4.8986106837567434e-11,3.9018176710425845e-12,1.3333857659801227e-16,3.5349308573476073e-15,9.188686203708555e-17,6.7914665488881965e-15,1.7601383607459935e-14,1.7249381278536518e-15,2.6109482631486713e-11,8.087487123996311e-17,4.708613463326114e-14,1.9986043930941833e-09,4.479567216296443e-13,4.324203569137453e-15,2.0994759750148084e-12,4.6690207256006033e-11,3.765628115587078e-15,5.793128129982783e-11,1.1187539169534282e-15,2.2064852115560862e-12,1.0063726935127804e-10,2.9339836394020203e-15,2.961619190449023e-14,1.5616783506218978e-15,2.0852880458815986e-16,1.590187400160592e-12,5.6320538510679086e-11,4.474354135081907e-15,3.96771393518236e-10,9.541447493210953e-13,2.1871379707327776e-10,3.5507506657150856e-11,7.506591970241061e-08,6.604882656427447e-13,1.0134019179375287e-09,6.605169021326254e-14
16,4.243025557570945e-07,5.58907919945284e-10,3.1358020180505264e-08,0.994040310382843,3.799741632448672e-10,5.929191599501893e-12,2.4599688686066656e-07,2.677018073882209e-07,6.177614153557442e-08,3.009157159561404e-11,1.0255126170477524e-07,2.0514047349706743e-08,4.576917035592487e-06,8.226684222734093e-09,9.684740831517047e-08,2.0589809857085584e-09,1.3127681164348814e-09,5.804511147289304e-06,3.8311418393277563e-07,3.424508349780808e-06,3.5846547952189667e-09,5.766660482464658e-10,1.9244220106351406e-10,3.5258485020506214e-10,6.609929528167413e-07,5.722125440144055e-09,3.8133171642584784e-07,1.5755156823615835e-07,3.1003452249933616e-08,3.866947595465575e-10,5.441184498522489e-07,3.216050856735819e-07,7.825071435263453e-08,5.678978398648837e-10,1.4954007383494172e-06,7.284001179996835e-10,6.216413567017298e-06,1.4439204960581264e-06,6.266334651172656e-08,3.5506095628079493e-06,1.0894819752138574e-05,7.141618425521301e-06,6.088223614142407e-08,8.517815149389207e-05,5.166347705198859e-08,4.3659772927640006e-05,4.5860548425480374e-07,8.104012749754474e-08,2.828244305419503e-07,2.699496235436527e-07,5.081904600956477e-05,2.6902890581936845e-08,7.968636055011302e-05,7.02962040577404e-07,1.6748490094808943e-10,2.6995927271400433e-08,5.1492961006260884e-09,3.118197469120787e-07,0.00022663736308459193,1.3128570230946934e-07,3.492416908557061e-06,2.8619218106484823e-10,6.08569564519712e-07,2.78537356734887e-07,3.0866857514411095e-08,2.3123644155020884e-07,1.5440392298060601e-09,1.8576471916276205e-07,1.3270392855702084e-06,1.1856814126076642e-06,7.484818320691033e-11,3.409007476307124e-08,2.3171456073334262e-11,5.815190888824873e-07,2.044181712790305e-09,5.1638060938330455e-08,1.2785840226570144e-06,7.349862940486673e-09,2.8740810079086465e-11,2.4618054794700583e-06,3.3723226988691124e-10,2.3586577299283817e-05,1.157020506070694e-06,7.717660992057063e-06,1.635721957882197e-08,4.44213037553709e-05,0.00513340113684535,3.918951279047178e-07,3.3273298005731533e-10,4.130660818191245e-05,1.0061576176667586e-06,3.896737780451076e-06,4.329161384930558e-08,6.734782687090046e-08,0.00015049132343847305,1.9532767225882708e-07,2.674226493581955e-07,3.1144425065576797e-06,1.0434079911192384e-07
19,5.460213614583154e-09,5.89216739635412e-12,1.8718458727473575e-10,0.9999884366989136,1.669736397758026e-13,1.5230338488319596e-14,6.417384679213711e-11,1.2973534573024192e-11,1.04570137271498e-10,1.9897256585410528e-13,1.3271153065375074e-09,7.129016344267769e-13,2.677512611626298e-07,3.5212655816359295e-13,4.9102451271654246e-11,1.6789825823051996e-12,3.8312044509103416e-12,6.495982640686293e-10,1.4233456427370506e-11,2.5282853144403816e-08,5.388859497523768e-11,3.600999056233012e-12,1.4286389725306353e-14,1.5727999415002247e-12,7.315169303634406e-11,1.4928714514583774e-11,1.832831802994761e-10,1.0151531525115498e-11,2.8729156831275304e-09,4.120879418950674e-12,1.85054291335085e-10,2.4538611143043454e-08,4.5618135935399096e-09,2.3266512414604756e-13,5.6125291081343676e-09,1.9887809118730032e-13,7.014409941774602e-09,1.7049350375941685e-08,8.256455963362441e-09,2.967571219869569e-07,2.836369472625222e-10,1.5726000412996655e-07,2.972215876195783e-11,3.038139295696851e-09,8.019474667664284e-11,1.2638653856811288e-07,1.1892804518964795e-09,2.2027439594562992e-10,6.691687759463605e-10,6.7029853889621904e-12,5.210811195865972e-06,2.4612236693144496e-09,1.4069799547655748e-08,8.48463699298918e-09,1.184386790031855e-12,4.5103787371658655e-09,6.465693952462104e-11,1.639705038414263e-11,1.790714065919019e-08,2.0639061293348249e-10,2.5906768286176884e-08,1.0142927486410033e-13,1.6092974175485608e-11,3.1870683175894143e-11,3.288277872215417e-09,1.4609140563948131e-08,3.7360341057814106e-13,1.6149851638294632e-12,4.567797518006955e-08,2.6285531529168793e-09,1.1898152378435594e-14,1.5220741333976662e-12,6.991628057620913e-15,1.3469874521332414e-11,2.9853274800123453e-12,1.081809156144864e-10,2.0611850004570442e-09,3.4987510393220955e-13,1.939118963599669e-14,4.385455554256623e-09,3.66042476006561e-14,8.357194758445985e-08,1.0333770505965845e-09,3.776203794103594e-09,1.0120111859635017e-08,4.488567526550469e-07,7.959807035717859e-09,5.861440666166118e-09,2.7557073444439868e-14,1.9382622173935715e-09,2.5120813873513725e-08,1.1157286206042727e-09,1.457266078641606e-11,6.960215043205764e-11,4.853782684222097e-06,2.0200583827206797e-12,4.601265757298023e-10,1.6669043922945548e-09,2.1757923462928375e-08
23,8.618626645695571e-13,7.678512825570749e-10,2.043870317436358e-08,1.0150557727683918e-08,4.2112993647869246e-10,6.032501005392987e-06,2.2065306026775033e-08,4.438067621737041e-11,9.993396084609363e-13,1.3230480599979444e-10,5.173556374971078e-11,7.012012082086017e-10,3.4456432151941385e-10,7.655739930889638e-11,4.519881344200449e-11,7.002447091508657e-05,1.944642228279489e-13,6.468700141509798e-12,1.0422554375111304e-08,2.8653404648970593e-10,3.967212114375229e-10,1.808837246652928e-10,3.309170992782384e-10,1.2308442265407393e-08,2.1552097884125487e-09,1.3004167742636241e-09,7.076314534337769e-10,3.4389424901498655e-12,0.9997842907905579,0.00013053230941295624,2.4273469989566365e-07,8.117190079814929e-12,2.947524169183424e-10,5.468256403240446e-10,2.846130442435424e-09,1.0710156317372821e-07,3.2031689800593455e-11,1.1904656815886483e-08,5.341874853570516e-08,2.565464569670439e-07,3.607065479638294e-10,1.2083963387213292e-12,1.4274728243890422e-07,2.1693132012945426e-10,6.726066925644147e-11,2.018305878329074e-12,2.114926567209352e-10,1.2505043008037564e-11,6.784485473421142e-11,3.2214719780654377e-10,2.646819152740676e-10,2.224193096367344e-08,1.6358736587562817e-09,7.913590671648763e-09,4.852152568624035e-10,2.697880745472503e-06,4.890971467830241e-07,1.507599427241768e-11,8.678198981095734e-15,1.3107104290810412e-10,9.280091139984847e-10,1.114011868863507e-10,1.463406396062794e-09,9.347026486139498e-10,1.689136723825868e-07,2.8518404304733735e-10,3.5155616195936545e-09,1.1400498323155261e-09,2.0967815927974698e-08,3.937469955417328e-06,2.9654663080691535e-07,1.6081981968341097e-08,3.656705493959578e-10,7.867240725545344e-08,8.692467856619146e-10,1.1629051194228524e-10,8.710193677430311e-10,6.397924291051682e-12,6.8587097806771524e-12,1.463056759076764e-10,4.724686277768342e-07,3.2292186702420622e-09,1.5707462457451027e-12,2.8742047804286575e-12,4.3081344047735115e-10,1.792595100136296e-10,1.0863020899476439e-10,7.499832577195775e-08,8.467365697484297e-10,6.374610474896292e-12,2.5836915940047334e-10,1.399839549831583e-10,4.629623351348755e-09,5.019219706525746e-09,3.251765718671751e-13,4.422107618235957e-14,2.1320882837017052e-09,2.9903737819303444e-10,3.3427770773641896e-08
24,1.0537305472624325e-09,1.076278562800459e-11,3.907489024186639e-13,4.05387176735314e-13,1.0810201475294767e-12,2.8588468398149658e-12,6.485820452754865e-13,9.425296101320951e-14,9.466145201031395e-09,2.2211840006169936e-11,2.885507859127362e-13,1.2585950754902611e-14,4.6956430172113983e-14,1.617921698308586e-14,3.7472436042801024e-14,7.750113484999988e-13,4.051767810153706e-10,4.172223764392635e-12,1.3684080901898055e-15,9.477692936021853e-12,1.849592701219649e-11,3.495352395854203e-15,9.837032849369455e-18,9.094624094888471e-15,5.133280056817892e-17,3.072305760814983e-16,4.6801278130725876e-11,5.007955313461598e-13,2.726669022133036e-14,2.1718012859026775e-14,1.375430760946152e-16,6.19674267454684e-08,2.31382510373912e-10,1.277735139915137e-10,1.870153511218664e-11,4.626815965948217e-13,1.974955442241022e-11,2.530753107077288e-10,4.107002793407588e-10,9.348382068452565e-10,3.7663917666110047e-13,2.095971139703945e-11,3.77794150130395e-12,5.487851820482135e-16,4.946102555303256e-12,2.0062679295662633e-10,2.448693103753591e-13,9.700488676211982e-12,3.5732789611334775e-14,4.2541946528029673e-13,1.4899287858159693e-13,5.356942889278571e-09,7.648802275517306e-16,7.285356637355602e-15,2.781352405334392e-12,6.626722824989995e-13,5.354018010189643e-14,6.368135998992969e-15,1.233819903884159e-12,3.252975888656806e-09,6.566452161746797e-14,9.989862534203961e-15,1.3313699599145555e-16,1.0951358770565703e-13,1.531987176006666e-10,3.3312120423234504e-12,2.1468378273427303e-15,8.740734814786588e-17,2.8302273719083004e-12,4.78680255155961e-11,8.53008923515857e-16,2.676364413021961e-14,1.9168000520153328e-12,3.125146015993223e-14,1.0733965799536449e-10,4.1258164419633037e-13,3.5410601317495405e-13,8.969380109241556e-16,1.566496515836846e-10,1.2715143608149626e-13,1.1405697079077542e-13,5.181886820679327e-13,7.88680648566853e-11,2.9744646745655245e-09,0.9999998807907104,1.0778386511220081e-13,1.2961258454215901e-16,7.61596460809727e-15,2.2534066423268197e-14,2.0155987989767254e-11,3.223946066707728e-12,1.27958844827478e-14,1.7117667147018706e-13,9.347310794306785e-14,6.499229487921809e-10,1.1878475633664287e-13,1.752051906605146e-14,1.8469600848725065e-14,4.124474894240783e-15
28,4.992996593955468e-08,3.4175958063542566e-08,7.785502277590783e-12,6.283430026288173e-11,7.444390104360821e-10,6.340264379863566e-15,1.0979538389577215e-09,2.0113210652539237e-08,0.999992847442627,6.666158597345984e-11,4.161455624540622e-09,3.1936575606295037e-09,5.868391106389481e-09,6.573984412394651e-11,1.800029636456202e-08,1.1487472214785632e-12,3.0111319659908986e-08,2.47973419575942e-09,3.459451041604167e-12,1.2591009346252235e-09,2.09206030277187e-09,2.5407513888479373e-14,3.711599272013515e-15,1.248820484685536e-14,2.289812220043763e-13,6.4133379122231944e-15,1.1413032324769645e-10,8.39846042103437e-15,1.3373995650083764e-13,1.2073673224394232e-12,5.22925751094902e-14,5.256938773179343e-10,3.3560770829055286e-10,4.4211498351209855e-10,1.2192065933225305e-12,2.1016668405593464e-09,8.316895213971928e-14,5.3099071806173015e-09,5.346628088181982e-12,2.6506150052618693e-10,5.77782335864363e-11,1.0357219526468953e-09,4.250020474438898e-13,8.929719485552268e-15,6.621628939607049e-11,2.5947591297814654e-11,2.956883002336319e-11,1.802683696761065e-10,1.8135297430443842e-10,1.2849069586096107e-09,7.122462037203233e-15,1.2067941047508302e-12,8.857211838964041e-13,2.3641330212931244e-11,3.8739137765697595e-12,1.107927877046222e-12,1.0432663847398382e-12,9.357395229763615e-14,7.537118173507606e-13,3.07470715554814e-11,1.4959301158912197e-12,2.6078225916334376e-15,4.445029685041374e-13,7.458544551289595e-14,8.902650838749082e-10,2.185945313648574e-10,1.4579818878894188e-14,2.4879841584976624e-15,1.682593300800228e-12,1.4704194892939393e-12,1.0244106249585917e-14,7.970597922998812e-13,1.3485614729609268e-15,3.277379669736069e-12,7.591361983472211e-10,1.2831577467231625e-10,1.0328968447692252e-13,3.881466647387682e-15,1.3125343693853875e-11,1.7162213490629075e-12,1.1529073702665205e-11,2.166902941802551e-11,3.844091364668678e-11,1.6988844775411849e-09,2.596118520159507e-07,3.1069539302430726e-11,3.1208309591093664e-13,9.957001721608641e-14,3.44464772461181e-13,1.8232185539091006e-08,5.937356162277752e-11,2.0626007846136218e-10,2.2824030165846665e-10,6.424878851163385e-09,6.75507999403635e-06,2.5225777022797047e-09,4.18635530971892e-14,4.2273936087799946e-12,9.024199443263825e-11
